"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Joel Embiid","PHI","PF,C DTD","33.1","10.2","4.2","1.7","1.0",".548",".857","1.0","3.4","66","34.6","10.0","10.0","1.21","3.1"
"Giannis Antetokounmpo","MIL","PF,C DTD","31.1","11.8","5.7","0.8","0.8",".553",".645","0.7","3.9","63","32.1","7.9","10.5","1.45","3.1"
"Jayson Tatum","BOS","SF,PF","30.1","8.8","4.6","0.7","1.1",".466",".854","3.2","2.9","74","36.9","7.2","6.6","1.61","2.2"
"Kevin Durant","PHO","SF,PF","29.1","6.7","5.0","1.4","0.7",".560",".919","2.0","3.3","47","35.6","6.5","8.3","1.51","2.1"
"LeBron James","LAL","PG,SG,SF,PF DTD","28.9","8.3","6.8","0.6","0.9",".500",".768","2.2","3.2","55","35.5","4.6","8.9","2.11","1.6"
"Zion Williamson","NOR","PF OUT","26.0","7.0","4.6","0.6","1.1",".608",".714","0.2","3.4","29","33.0","6.1","9.6","1.34","2.2"
"Anthony Davis","LAL","PF,C DTD","25.9","12.5","2.6","2.0","1.1",".563",".784","0.3","2.2","56","34.0","6.2","9.3","1.21","2.6"
"Lauri Markkanen","UTH","PF,C DTD","25.6","8.6","1.9","0.6","0.6",".499",".875","3.0","1.9","66","34.4","5.3","5.6","0.97","2.1"
"Julius Randle","NYK","PF,C","25.1","10.0","4.1","0.3","0.6",".460",".757","2.8","2.8","77","35.5","5.2","5.7","1.46","3.0"
"Brandon Ingram","NOR","SF,PF","24.7","5.5","5.8","0.4","0.7",".484",".882","1.4","3.3","45","34.2","5.3","7.6","1.77","2.6"
"DeMar DeRozan","CHI","SF,PF,SG","24.5","4.6","5.1","0.5","1.1",".504",".872","0.6","2.1","74","36.2","6.2","8.3","2.46","2.5"
"Nikola Jokic","DEN","PF,C","24.5","11.8","9.8","0.7","1.3",".632",".822","0.8","3.6","69","33.7","4.9","8.5","2.74","2.5"
"Pascal Siakam","TOR","PF,C","24.2","7.8","5.8","0.5","0.9",".480",".774","1.3","2.4","71","37.4","5.2","7.6","2.45","3.2"
"Paul George","LAC","SF,PF,SG","23.8","6.1","5.1","0.4","1.5",".457",".871","2.8","3.1","56","34.6","4.6","5.4","1.64","2.8"
"Kawhi Leonard","LAC","SG,SF,PF OUT","23.8","6.5","3.9","0.5","1.4",".512",".871","2.0","1.7","52","33.6","4.7","6.6","2.32","1.6"
"Kristaps Porzingis","WAS","PF,C OUT","23.2","8.4","2.7","1.5","0.9",".498",".851","2.1","2.1","65","32.6","5.4","5.7","1.27","3.0"
"Jimmy Butler","MIA","SF,PF,SG","22.9","5.8","5.3","0.3","1.8",".539",".851","0.6","1.6","64","33.4","7.4","6.9","3.37","1.3"
"Keldon Johnson","SAS","SF,PF OUT","22.0","5.0","2.9","0.2","0.7",".452",".749","2.1","2.1","63","32.8","3.9","5.9","1.37","2.0"
"Bojan Bogdanovic","DET","SF,PF","21.6","3.8","2.6","0.1","0.6",".488",".885","2.5","2.3","59","32.1","4.5","4.8","1.13","1.9"
"Kyle Kuzma","WAS","SF,PF","21.2","7.2","3.7","0.5","0.6",".448",".730","2.5","3.0","64","35.0","2.7","5.5","1.26","2.3"
"Jerami Grant","POR","SF,PF OUT","20.5","4.5","2.4","0.8","0.8",".475",".813","2.3","1.8","63","35.6","4.4","4.6","1.29","2.4"
"Bam Adebayo","MIA","PF,C","20.4","9.2","3.2","0.8","1.2",".540",".806","0.0","2.5","75","34.6","4.3","8.0","1.28","2.8"
"Kelly Oubre Jr.","CHA","SG,SF,PF OUT","20.3","5.2","1.1","0.4","1.4",".431",".760","2.3","1.3","48","32.2","3.3","5.1","0.84","2.9"
"Paolo Banchero","ORL","PF DTD","20.0","6.9","3.7","0.5","0.8",".427",".738","1.2","2.8","72","33.7","5.5","5.5","1.35","2.2"
"Louis King","PHI","PF,SF G-League","20.0","4.0","2.0","0.0","1.0",".615",".000","4.0","2.0","1","28.8","0.0","4.0","1.00","4.0"
"Domantas Sabonis","SAC","PF,C","19.1","12.3","7.3","0.5","0.8",".615",".742","0.4","2.9","79","34.6","4.1","6.9","2.49","3.5"
"Jaren Jackson Jr.","MEM","PF,C","18.6","6.8","1.0","3.0","1.0",".506",".788","1.6","1.7","63","28.4","3.8","5.0","0.56","3.6"
"Myles Turner","IND","PF,C DTD","17.7","7.4","1.4","2.2","0.6",".548",".783","1.5","1.6","63","29.0","3.4","4.9","0.86","3.4"
"Michael Porter Jr.","DEN","SF,PF","17.4","5.5","1.0","0.5","0.6",".487",".800","3.0","1.1","62","29.0","1.5","3.4","0.96","1.9"
"O.G. Anunoby","TOR","SF,PF","16.8","5.0","2.0","0.7","1.9",".476",".838","2.1","2.0","67","35.6","2.1","4.2","0.99","3.0"
"Christian Wood","DAL","PF,C DTD","16.6","7.3","1.8","1.1","0.4",".515",".772","1.6","1.8","67","25.9","3.2","4.3","1.00","2.5"
"Aaron Gordon","DEN","SF,PF","16.3","6.6","3.0","0.8","0.8",".564",".608","0.9","1.4","68","30.3","2.8","5.4","2.07","1.9"
"Evan Mobley","CLE","C,PF","16.2","9.0","2.8","1.5","0.8",".554",".673","0.3","1.8","79","34.4","2.6","6.4","1.53","2.8"
"RaiQuan Gray","BKN","PF G-League","16.0","9.0","7.0","1.0","0.0",".500","1.000","2.0","4.0","1","35.1","2.0","4.0","1.75","5.0"
"P.J. Washington","CHA","PF,C OUT","15.7","4.9","2.4","1.1","0.9",".444",".730","2.0","1.5","73","32.6","1.7","3.9","1.59","2.6"
"Cameron Johnson","BKN","SF,PF","15.5","4.4","1.9","0.3","1.2",".471",".842","2.5","0.9","42","28.6","2.4","2.9","2.11","2.0"
"De'Andre Hunter","ATL","SF,PF","15.4","4.2","1.4","0.3","0.5",".461",".826","1.5","1.2","67","31.7","2.6","4.2","1.15","3.0"
"Scottie Barnes","TOR","SF,PF DTD","15.3","6.6","4.8","0.8","1.1",".456",".772","0.8","2.0","77","34.8","2.5","5.2","2.41","2.2"
"Khris Middleton","MIL","SF,PF,SG","15.1","4.2","4.9","0.2","0.7",".436",".902","1.5","2.2","33","24.3","2.8","3.8","2.30","2.1"
"Harrison Barnes","SAC","SF,PF","15.0","4.5","1.6","0.1","0.7",".473",".848","1.6","1.0","82","32.5","4.3","3.0","1.49","1.3"
"Tobias Harris","PHI","SF,PF","14.7","5.7","2.5","0.5","0.9",".501",".876","1.7","1.2","74","32.9","1.5","4.0","2.09","2.0"
"Bobby Portis Jr.","MIL","PF,C","14.1","9.6","1.5","0.2","0.4",".496",".768","1.4","1.2","70","26.0","1.4","4.3","1.30","1.6"
"Bogdan Bogdanovic","ATL","SF,PF,SG","14.0","3.1","2.8","0.3","0.8",".447",".831","2.7","1.2","54","27.9","1.2","2.4","2.31","1.6"
"John Collins","ATL","PF,C","13.1","6.5","1.2","1.0","0.6",".508",".803","1.0","1.1","71","30.0","2.0","4.1","1.08","3.1"
"Jabari Smith Jr.","HOU","PF","12.8","7.2","1.3","0.9","0.5",".408",".786","1.5","1.3","79","31.0","2.1","3.1","0.97","2.9"
"Kenyon Martin Jr.","HOU","SF,PF","12.7","5.5","1.5","0.4","0.5",".569",".680","0.8","1.1","82","28.0","1.8","4.2","1.35","1.8"
"Nic Claxton","BKN","C,PF","12.6","9.2","1.9","2.5","0.8",".705",".541","0.0","1.3","76","29.9","1.8","5.4","1.50","2.8"
"Kelly Olynyk","UTH","PF,C","12.5","6.2","3.7","0.5","0.9",".499",".853","1.4","2.5","68","28.6","2.9","2.7","1.50","3.4"
"Keegan Murray","SAC","PF","12.2","4.6","1.2","0.5","0.8",".453",".765","2.6","0.8","80","29.8","0.8","1.9","1.63","2.0"
"Jaden McDaniels","MIN","PF,SF OUT","12.1","3.9","1.9","1.0","0.9",".516",".736","1.4","1.4","79","30.6","1.3","3.3","1.32","3.4"
"Marvin Bagley III","DET","PF,C OUT","12.0","6.4","0.9","0.7","0.5",".529",".750","0.5","1.1","42","23.6","1.9","4.4","0.78","1.9"
"Zach Collins","SAS","PF,C DTD","11.6","6.4","2.9","0.8","0.6",".518",".761","0.9","2.0","63","22.9","1.7","3.6","1.40","3.2"
"Isaiah Stewart","DET","PF,C","11.3","8.1","1.4","0.7","0.4",".442",".738","1.3","1.4","50","28.3","2.2","2.6","1.03","2.7"
"Marcus Morris Sr.","LAC","PF,C,SF DTD","11.2","4.0","1.8","0.3","0.6",".426",".782","1.7","0.9","65","28.1","1.0","2.5","2.04","2.1"
"Rui Hachimura","LAL","SF,PF","11.2","4.5","0.9","0.4","0.3",".486",".740","0.8","0.8","63","23.3","1.4","3.7","1.09","1.1"
"Jeremy Sochan","SAS","PF OUT","11.0","5.3","2.5","0.4","0.8",".453",".698","0.6","1.7","56","26.0","1.4","3.9","1.46","2.5"
"Mason Plumlee","LAC","PF,C","10.8","8.8","3.1","0.6","0.6",".680",".636","0.0","1.5","79","26.0","2.5","4.2","2.11","2.7"
"Moritz Wagner","ORL","PF,C","10.5","4.5","1.5","0.2","0.6",".500",".841","0.9","1.2","57","19.5","2.7","2.6","1.24","2.4"
"Patrick Williams","CHI","SF,PF","10.2","4.0","1.2","0.9","0.9",".464",".857","1.4","1.2","82","28.3","1.1","2.4","0.99","1.8"
"Doug McDermott","SAS","SF,PF DTD","10.2","2.2","1.4","0.1","0.2",".457",".757","1.9","0.9","64","20.5","0.8","1.8","1.57","1.8"
"Brandon Clarke","MEM","SF,PF,C OUT","10.0","5.5","1.3","0.7","0.6",".656",".723","0.0","1.0","56","19.5","1.8","4.1","1.31","2.3"
"Onyeka Okongwu","ATL","PF,C","9.9","7.2","1.0","1.3","0.7",".638",".781","0.1","1.0","80","23.1","1.9","3.9","1.00","3.1"
"Jonathan Kuminga","GSW","SF,PF","9.9","3.4","1.9","0.5","0.6",".525",".652","0.8","1.4","67","20.8","1.3","3.1","1.32","2.3"
"Luka Samanic","FA","PF FA","9.9","4.3","2.1","0.3","0.9",".456",".692","1.1","1.4","7","23.0","1.3","2.6","1.50","2.4"
"Al Horford","BOS","PF,C","9.8","6.2","3.0","1.0","0.5",".476",".714","2.3","0.6","63","30.5","0.2","1.3","5.11","1.9"
"Keita Bates-Diop","SAS","SF,PF","9.7","3.7","1.5","0.3","0.7",".508",".793","0.8","0.8","67","21.7","1.8","2.7","1.84","0.9"
"Jalen McDaniels","PHI","PF,C DTD","9.4","4.3","1.6","0.4","1.0",".455",".841","1.0","1.2","80","23.9","1.5","2.6","1.40","2.6"
"Chris Boucher","TOR","PF,C","9.4","5.5","0.4","0.8","0.6",".494",".762","0.8","0.5","76","20.0","1.7","2.6","0.71","1.9"
"Kyle Anderson","MIN","SF,PF DTD","9.4","5.3","4.9","0.9","1.1",".509",".735","0.6","1.5","69","28.4","1.4","3.0","3.25","2.1"
"Jalen Smith","IND","PF,C DTD","9.4","5.8","1.0","0.9","0.3",".476",".759","0.8","1.1","68","18.8","1.5","2.8","0.92","2.3"
"Deni Avdija","WAS","SG,SF,PF","9.2","6.4","2.8","0.4","0.9",".437",".739","0.9","1.6","76","26.6","1.6","2.4","1.72","2.8"
"Precious Achiuwa","TOR","SF,PF,C","9.2","6.0","0.9","0.5","0.6",".485",".702","0.5","1.1","55","20.7","1.6","3.0","0.85","1.9"
"Bol Bol","ORL","PF,C","9.1","5.8","1.0","1.2","0.4",".546",".759","0.4","1.6","70","21.5","1.2","3.3","0.62","1.3"
"Taurean Prince","MIN","SF,PF","9.1","2.4","1.6","0.3","0.5",".467",".844","1.4","1.3","54","22.1","1.2","1.9","1.22","2.3"
"Jae'Sean Tate","HOU","SF,PF","9.1","3.8","2.7","0.2","0.7",".480",".725","0.4","1.5","31","21.9","1.6","3.1","1.79","3.4"
"Daniel Gafford","WAS","C,PF OUT","9.0","5.6","1.1","1.3","0.4",".732",".679","0.0","1.1","78","20.6","1.6","3.7","0.99","2.4"
"Santi Aldama","MEM","PF,C DTD","9.0","4.8","1.3","0.6","0.6",".471",".750","1.2","0.8","77","21.8","1.4","2.0","1.62","1.9"
"Royce O'Neale","BKN","SF,PF","8.8","5.1","3.7","0.6","0.9",".386",".725","2.1","1.5","76","31.7","0.7","0.9","2.49","3.1"
"Cedi Osman","CLE","SF,PF","8.7","2.3","1.5","0.2","0.5",".451",".694","1.5","0.7","77","20.1","1.0","1.6","2.21","1.6"
"Draymond Green","GSW","PF,C","8.5","7.2","6.8","0.8","1.0",".527",".713","0.5","2.8","73","31.5","1.1","2.9","2.45","3.1"
"Dorian Finney-Smith","BKN","SF,PF","8.3","4.8","1.5","0.5","0.8",".391",".763","1.7","0.9","66","30.4","0.7","1.2","1.61","2.2"
"Georges Niang","PHI","SF,PF DTD","8.2","2.4","1.0","0.2","0.4",".442",".867","2.0","0.7","78","19.4","0.5","0.9","1.43","1.9"
"Kevin Love","MIA","PF,C","8.2","6.5","1.9","0.2","0.3",".389",".879","1.6","1.1","62","20.0","1.3","1.1","1.66","1.6"
"Grant Williams","BOS","SF,PF","8.1","4.6","1.7","0.4","0.5",".454",".771","1.5","1.0","79","25.9","1.2","1.3","1.60","2.4"
"Aleksej Pokusevski","OKC","SF,PF OUT","8.1","4.7","1.9","1.3","0.6",".434",".629","1.1","1.3","34","20.6","0.6","2.1","1.49","1.7"
"Kenrich Williams","OKC","SF,PF OUT","8.0","4.9","2.0","0.3","0.8",".517",".436","0.9","0.6","53","22.8","0.3","2.4","3.28","2.1"
"Robert Williams III","BOS","C,PF","8.0","8.3","1.4","1.4","0.6",".747",".610","0.0","1.0","35","23.5","0.7","3.6","1.47","1.9"
"Jarred Vanderbilt","LAL","PF,C","7.9","7.5","2.4","0.3","1.1",".548",".691","0.4","1.2","78","24.1","1.2","2.8","1.90","2.4"
"Jeff Green","DEN","SF,PF","7.8","2.6","1.2","0.3","0.3",".488",".744","0.5","0.8","56","19.5","1.6","2.3","1.50","1.8"
"Trey Lyles","SAC","PF,C DTD","7.6","4.1","0.9","0.4","0.4",".458",".815","1.2","0.9","74","16.9","1.4","1.4","1.03","1.3"
"T.J. Warren","PHO","SF,PF","7.5","2.9","1.0","0.3","0.5",".489",".800","0.5","0.5","42","16.4","0.7","2.6","2.00","1.5"
"Obi Toppin","NYK","SF,PF","7.4","2.8","1.0","0.2","0.3",".446",".809","1.3","0.6","67","15.7","0.6","1.5","1.74","1.0"
