"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Markelle Fultz","ORL","PG,SG","14.0","3.9","5.7","0.4","1.5",".514",".783","0.5","2.3","60","29.6","1.9","5.4","2.45","2.2"
"Chris Paul","GSW","PG","13.9","4.3","8.9","0.4","1.5",".440",".831","1.7","1.9","59","32.0","2.3","3.3","4.60","2.1"
"Malik Monk","SAC","PG,SG","13.5","2.6","3.9","0.3","0.6",".449",".889","1.9","1.9","77","22.3","2.4","2.8","2.04","1.6"
"Kris Dunn","UTH","PG,SG","13.2","4.5","5.6","0.5","1.1",".537",".774","0.8","1.6","22","25.8","1.9","4.5","3.54","2.6"
"Cole Anthony","ORL","PG","13.0","4.8","3.9","0.5","0.6",".454",".894","1.3","1.5","60","25.9","2.5","3.4","2.58","2.6"
"Tre Jones","SAS","PG","12.9","3.6","6.6","0.1","1.3",".459",".861","0.7","1.6","68","29.2","2.2","4.4","4.07","1.4"
"Malik Beasley","LAL","PG,SG,SF","12.7","3.5","1.5","0.1","0.8",".395",".769","2.9","1.1","81","25.8","0.6","1.7","1.38","1.3"
"Dennis Schroder","LAL","PG","12.6","2.5","4.5","0.2","0.8",".415",".857","1.1","1.7","66","30.1","3.3","3.0","2.66","2.2"
"Mac McClung","PHI","PG","12.5","5.0","4.5","0.0","0.0",".450",".600","2.0","1.5","2","20.5","1.5","2.5","3.00","1.5"
"Derrick White","BOS","PG,SG","12.4","3.6","3.9","0.9","0.7",".462",".875","1.8","1.2","82","28.3","2.0","2.5","3.38","2.2"
"Mike Conley","MIN","PG","11.9","2.7","6.7","0.2","1.1",".428",".834","2.0","1.5","67","30.3","2.1","1.9","4.37","2.1"
"Bones Hyland","LAC","PG,SG","11.8","2.4","3.1","0.3","0.7",".399",".843","2.1","1.5","56","19.4","1.5","2.0","2.10","1.7"
"Marcus Smart","MEM","PG,SG","11.5","3.1","6.3","0.4","1.5",".415",".746","1.9","2.3","61","32.1","1.4","2.2","2.67","2.8"
"John Wall","FA","PG FA","11.4","2.7","5.2","0.4","0.8",".408",".681","1.0","2.4","34","22.2","2.3","3.1","2.23","1.7"
"Kyle Lowry","MIA","PG","11.2","4.1","5.1","0.4","1.0",".404",".859","1.9","1.9","55","31.2","2.1","1.6","2.73","2.6"
"Kentavious Caldwell-Pope","DEN","PG,SG,SF","10.8","2.7","2.4","0.5","1.5",".462",".824","1.8","1.1","76","31.3","1.4","2.1","2.13","1.9"
"Tyus Jones","WAS","PG","10.3","2.5","5.2","0.1","1.0",".438",".800","1.5","0.9","80","24.2","1.0","2.4","5.64","0.4"
"Killian Hayes","DET","PG,SG","10.3","2.9","6.2","0.4","1.4",".377",".821","1.1","2.3","76","28.3","1.2","3.0","2.72","2.9"
"Monte Morris","WAS","PG,SG","10.3","3.4","5.3","0.2","0.7",".480",".831","1.3","1.0","62","27.4","1.0","2.7","5.43","1.2"
"Cameron Payne","PHO","PG,SG","10.3","2.2","4.5","0.2","0.7",".415",".766","1.4","1.7","48","20.2","1.0","2.5","2.64","1.8"
"Reggie Jackson","DEN","PG,SG","10.2","2.1","3.4","0.1","0.7",".411",".910","1.4","1.7","68","24.4","1.0","2.5","2.03","1.7"
"De'Anthony Melton","PHI","PG,SG","10.1","4.1","2.6","0.5","1.6",".426",".793","2.0","1.3","77","27.9","0.9","1.6","1.95","2.5"
"Jalen Suggs","ORL","PG,SG","9.9","3.0","2.9","0.5","1.3",".418",".723","1.2","1.8","53","23.5","1.6","2.3","1.65","2.3"
"Coby White","CHI","PG,SG","9.7","2.9","2.8","0.1","0.7",".443",".871","1.7","1.0","74","23.4","0.8","1.8","2.76","1.6"
"Andrew Nembhard","IND","PG","9.5","2.7","4.5","0.2","0.9",".441",".790","1.2","1.7","75","27.6","0.7","2.6","2.71","2.4"
"Donte DiVincenzo","GSW","PG,SG","9.4","4.5","3.5","0.1","1.3",".435",".817","2.1","1.6","72","26.3","0.8","1.2","2.25","1.8"
"Gabe Vincent","MIA","PG,SG","9.4","2.1","2.5","0.1","0.9",".402",".872","1.7","1.4","68","25.9","1.0","1.6","1.82","2.3"
"Seth Curry","BKN","PG,SG","9.2","1.6","1.6","0.1","0.6",".463",".927","1.5","0.8","61","19.8","0.8","1.9","1.94","1.6"
"Jose Alvarado","NOR","PG","9.0","2.3","3.0","0.2","1.1",".411",".813","1.4","1.3","61","21.5","1.1","1.9","2.30","2.0"
"Dennis Smith Jr.","CHA","PG","8.8","3.1","4.8","0.5","1.4",".412",".736","0.4","1.5","54","25.7","1.4","3.0","3.18","2.3"
"Shaquille Harrison","LAL","SG,SF,PG","8.8","4.4","6.0","0.4","2.2",".417",".733","0.6","1.2","5","24.0","2.2","2.4","5.00","2.4"
"T.J. McConnell","IND","PG,SG","8.7","3.1","5.3","0.1","1.1",".543",".853","0.3","1.9","75","20.4","0.8","3.4","2.78","1.4"
"Landry Shamet","WAS","PG,SG","8.7","1.7","2.3","0.1","0.7",".377",".882","1.9","0.9","40","20.2","1.1","1.0","2.58","1.5"
"Ayo Dosunmu","CHI","PG,SG","8.6","2.8","2.6","0.3","0.8",".493",".805","0.7","1.2","80","26.2","0.8","2.8","2.08","2.3"
"Shake Milton","PHI","PG,SG","8.4","2.5","3.1","0.2","0.3",".479",".853","0.7","1.2","76","20.6","1.3","2.4","2.53","1.6"
"Jevon Carter","MIL","PG,SG","8.0","2.5","2.4","0.4","0.8",".423",".816","1.8","1.0","81","22.4","0.4","1.2","2.53","2.0"
"Kemba Walker","FA","PG FA","8.0","1.8","2.1","0.2","0.2",".421",".810","0.8","0.4","9","16.0","1.9","1.9","4.75","1.2"
"Duane Washington Jr.","NYK","PG","7.9","1.2","2.0","0.1","0.2",".367",".667","1.3","1.1","31","12.7","0.5","1.7","1.85","0.7"
"Tre Mann","OKC","SG,PG","7.7","2.3","1.8","0.2","0.6",".393",".764","1.2","0.9","67","17.7","0.6","1.7","1.94","1.5"
"Devonte' Graham","SAS","PG,SG","7.4","1.7","2.7","0.2","0.6",".374",".748","1.6","0.7","73","18.3","1.3","0.6","3.70","1.1"
"Delon Wright","WAS","PG,SG","7.4","3.6","3.9","0.3","1.8",".473",".867","0.8","0.9","50","24.4","1.0","1.9","4.41","1.2"
"Kendrick Nunn","WAS","PG,SG","7.1","1.6","1.3","0.1","0.4",".424",".854","1.1","0.9","70","13.8","0.5","1.6","1.36","0.9"
"Edmond Sumner","BKN","PG,SG,SF","7.1","1.5","1.3","0.2","0.6",".461",".917","0.6","0.9","53","13.9","1.9","1.8","1.36","1.6"
"Lindell Wigginton","MIL","PG","7.1","1.0","2.0","0.3","0.0",".487",".889","0.9","1.7","7","12.4","1.1","1.7","1.17","1.0"
"Cory Joseph","DET","PG","6.9","1.7","3.5","0.1","0.5",".427",".792","1.1","0.9","62","19.8","0.9","1.3","3.88","1.4"
"Ty Jerome","GSW","PG,SG","6.9","1.7","3.0","0.1","0.5",".488",".927","0.8","0.7","45","18.1","0.8","1.8","4.50","1.4"
"Ben Simmons","BKN","PG OUT","6.9","6.3","6.1","0.5","1.3",".566",".439","0.0","2.3","42","26.3","0.6","3.2","2.63","3.3"
"Justise Winslow","POR","PF,PG,SF","6.8","5.0","3.4","0.4","1.0",".409",".714","0.5","1.5","29","26.8","0.7","2.3","2.28","3.1"
"Theo Maledon","CHA","PG","6.7","2.8","3.5","0.3","0.8",".402",".851","0.6","1.3","44","19.4","1.4","1.7","2.58","1.4"
"Jordan Goodwin","PHO","PG","6.6","3.3","2.7","0.4","0.9",".448",".768","0.6","0.9","62","17.8","0.9","1.9","2.95","1.5"
"R.J. Hampton Jr.","DET","PG,SG","6.4","1.9","1.1","0.2","0.6",".430",".750","0.9","0.9","47","15.9","1.2","1.3","1.29","1.1"
"Goran Dragic","MIL","PG,SG","6.3","1.4","2.6","0.1","0.2",".421",".689","0.9","1.1","58","15.0","0.5","1.5","2.40","1.1"
"Patrick Beverley","CHI","PG,SG","6.2","3.7","2.9","0.6","0.9",".400",".723","1.2","0.9","67","27.1","0.7","1.0","3.23","2.8"
"Nickeil Alexander-Walker","MIN","SG,SF,PG","6.2","1.7","1.8","0.4","0.5",".444",".667","1.0","0.9","59","15.0","0.7","1.2","1.96","1.5"
"Patty Mills","BKN","PG","6.2","1.1","1.4","0.1","0.4",".412",".833","1.2","0.8","40","14.2","0.6","0.9","1.87","0.8"
"Saben Lee","PHO","PG","6.0","1.8","2.7","0.0","0.8",".405",".737","0.4","1.0","25","14.9","1.7","1.5","2.79","1.3"
"Davion Mitchell","SAC","SG,PG","5.6","1.3","2.3","0.2","0.6",".454",".807","0.8","0.8","80","18.1","0.3","1.5","2.98","1.4"
"Alex Caruso","CHI","PG,SG","5.6","2.9","2.9","0.7","1.5",".455",".808","0.8","1.1","67","23.4","0.9","1.1","2.51","2.4"
"Payton Pritchard","BOS","PG","5.6","1.8","1.3","0.0","0.3",".412",".750","1.2","0.8","48","13.4","0.3","0.9","1.60","0.8"
"Derrick Rose","NYK","PG,SG","5.6","1.5","1.7","0.2","0.3",".384",".917","0.7","0.8","27","12.5","0.4","1.6","2.09","0.7"
"Ricky Rubio","CLE","PG","5.2","2.1","3.5","0.2","0.8",".343",".800","0.6","0.9","33","17.2","0.8","1.2","3.71","1.5"
"Javonte Green","CHI","PG,SG","5.2","2.8","0.7","0.7","0.8",".565",".667","0.4","0.6","32","15.0","0.9","1.5","1.15","1.6"
"John Konchar","MEM","SG,PG","5.1","4.3","1.4","0.3","1.1",".431",".778","0.8","0.5","72","20.7","0.4","1.1","2.70","1.6"
"George Hill","IND","PG,SG","5.0","1.8","2.4","0.1","0.6",".470",".764","0.7","0.7","46","18.1","0.9","1.0","3.24","1.2"
"Sam Merrill","CLE","SG,PG","5.0","1.8","1.0","0.0","0.8",".409","1.000","1.0","0.0","5","11.7","0.4","0.8","0.00","0.6"
"Austin Rivers","MIN","PG,SG","4.9","1.6","1.4","0.1","0.5",".435",".769","0.8","0.4","52","19.5","0.6","0.9","3.26","1.5"
"TyTy Washington Jr.","HOU","PG","4.7","1.5","1.5","0.1","0.5",".363",".556","0.6","0.5","31","14.0","0.3","1.3","3.36","0.9"
"Malachi Flynn","TOR","PG","4.6","1.4","1.3","0.1","0.4",".360",".758","0.9","0.5","53","13.0","0.5","0.8","2.80","1.2"
"Dalano Banton","TOR","SF,PG","4.6","1.5","1.2","0.4","0.4",".420",".708","0.5","0.6","31","9.0","0.5","1.3","2.00","1.1"
"Kira Lewis Jr.","NOR","PG,SG","4.6","1.3","0.9","0.1","0.4",".455",".864","0.6","0.4","25","9.4","0.8","1.0","2.30","1.0"
"Gary Payton II","GSW","PG,SG","4.6","3.1","1.4","0.2","1.0",".594",".857","0.6","0.7","22","16.8","0.3","1.3","1.88","2.0"
"Jarrett Culver","FA","PG,SG,SF FA","4.4","3.8","0.6","0.2","0.6",".395",".692","0.1","0.7","10","13.7","0.9","1.6","0.86","1.4"
"Michael Carter-Williams","ORL","PG,SG","4.3","1.3","1.8","0.3","0.3",".429",".571","0.3","1.0","4","11.1","1.0","1.3","1.75","1.3"
"McKinley Wright IV","DAL","PG","4.2","1.7","2.1","0.2","0.3",".469",".684","0.3","0.7","27","12.4","0.5","1.4","3.05","0.9"
"Daishen Nix","HOU","SG,PG","4.0","1.7","2.3","0.1","0.5",".342",".667","0.7","1.5","57","16.0","0.4","0.7","1.53","1.0"
"Aaron Holiday","ATL","PG,SG","3.9","1.2","1.4","0.2","0.6",".418",".844","0.6","0.6","63","13.4","0.4","0.9","2.47","1.3"
"Jordan McLaughlin","MIN","PG","3.7","1.4","3.4","0.1","0.7",".421",".833","0.6","0.8","43","15.8","0.3","0.9","4.48","0.7"
"Bryn Forbes","FA","PG,SG FA","3.6","0.6","0.7","0.1","0.3",".361","1.000","0.6","0.5","25","10.7","0.6","0.6","1.42","0.9"
"Miles McBride","NYK","PG","3.5","0.8","1.1","0.1","0.6",".358",".667","0.6","0.4","64","11.9","0.4","0.6","2.88","0.9"
"Raul Neto","CLE","PG,SG","3.3","1.0","1.6","0.1","0.4",".518",".912","0.3","0.5","48","10.5","0.6","0.9","3.29","1.0"
"Jamaree Bouyea","FA","PG FA","3.0","1.2","0.8","0.4","0.8",".429",".500","0.4","0.8","5","14.1","0.2","0.8","1.00","1.2"
"Tyler Dorsey","FA","PG,SG FA","3.0","0.7","0.0","0.0","0.0",".800",".000","0.3","0.0","3","2.8","0.0","1.0","0.00","0.0"
"Frank Ntilikina","DAL","PG,SG","2.9","1.3","1.2","0.1","0.3",".364",".667","0.4","0.6","47","12.9","0.5","0.7","2.00","1.4"
"Jason Preston","LAC","PG","2.9","1.6","1.9","0.0","0.1",".439",".000","0.4","0.7","14","8.8","0.0","0.9","2.70","0.5"
"Carlik Jones","CHI","PG","2.9","0.7","0.9","0.0","0.3",".400",".625","0.4","0.3","7","8.0","0.7","0.4","3.00","0.3"
"Jaden Springer","PHI","SG,PG","2.6","0.9","0.5","0.2","0.4",".486",".750","0.1","0.2","16","5.6","0.4","0.9","2.67","0.9"
"Ish Smith","DEN","PG","2.5","1.3","2.3","0.2","0.2",".397",".500","0.0","1.0","43","9.3","0.0","1.2","2.27","0.8"
"Jeff Dowtin Jr.","TOR","PG","2.4","0.9","1.2","0.1","0.4",".439",".667","0.2","0.2","25","10.3","0.2","0.8","6.20","0.5"
"Dalen Terry","CHI","PG","2.2","1.0","0.6","0.1","0.3",".444",".667","0.2","0.2","38","5.6","0.4","0.7","2.75","0.6"
"Kennedy Chandler","FA","PG FA","2.2","1.1","1.6","0.1","0.3",".422",".462","0.1","0.5","36","7.8","0.2","0.9","3.22","0.4"
"Garrett Temple","NOR","PG,SG,SF","2.0","0.7","0.5","0.1","0.4",".400",".750","0.4","0.2","25","6.5","0.1","0.3","3.25","0.6"
"JD Davison","BOS","PG","1.6","0.8","0.9","0.2","0.2",".421",".500","0.2","0.3","12","5.5","0.1","0.5","2.75","0.4"
"Matthew Dellavedova","SAC","PG,SG","1.5","0.4","1.3","0.0","0.2",".340",".571","0.3","0.3","32","6.6","0.1","0.3","4.10","0.6"
"PJ Dozier","SAC","PG,SG,SF","1.4","0.9","0.6","0.1","0.4",".303",".000","0.1","0.3","16","5.0","0.0","0.5","2.00","0.4"
"Ryan Arcidiacono","NYK","PG FA","1.3","0.8","1.2","0.0","0.3",".243",".000","0.4","0.4","20","8.6","0.0","0.1","3.29","0.9"
"Facundo Campazzo","FA","PG FA","1.3","0.3","1.1","0.0","0.8",".231",".500","0.4","0.4","8","6.5","0.1","0.0","3.00","0.4"
"Vit Krejci","ATL","PG","1.2","0.9","0.6","0.0","0.2",".405",".500","0.2","0.2","29","5.7","0.0","0.3","3.40","0.6"
"Kobi Simmons","CHA","SG,PG","1.0","0.8","1.0","0.4","0.0",".167","1.000","0.2","0.2","5","5.6","0.4","0.0","5.00","0.0"
"Devon Dotson","FA","PG,SG FA","0.5","1.7","1.3","0.0","0.8",".111",".000","0.2","0.5","6","8.9","0.0","0.0","2.67","1.5"
"Lonzo Ball","CHI","PG,SG OUT","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Deonte Burton","FA","PG FA","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","2","3.2","0.0","0.0","0.00","0.0"
"Frank Jackson","FA","PG,SG FA","0.0","2.0","1.0","0.0","0.0",".000",".000","0.0","0.0","1","5.1","0.0","0.0","0.00","0.0"
"DaQuan Jeffries","NYK","PG,SG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Collin Gillespie","DEN","PG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"D.J. Augustin","HOU","PG","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
""
""
